,id,revenue,title,genres,budget,popularity,release_date,year,rating_mean
0,862,373554033.0,Toy Story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",30000000,21.946943,1995-10-30,1995,3.5989304812834226
1,8844,262797249.0,Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",65000000,17.015539,1995-12-15,1995,3.7601626016260163
2,949,187436818.0,Heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",60000000,17.924927,1995-12-15,1995,3.905543710021322
3,710,352194034.0,GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",58000000,14.686036,1995-11-16,1995,2.740333586050038
4,1408,10017322.0,Cutthroat Island,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",98000000,7.284477,1995-12-22,1995,3.710181451612903
5,524,116112375.0,Casino,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",52000000,10.137389,1995-11-22,1995,3.5151697042453347
6,4584,135000000.0,Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",16500000,10.673167,1995-12-13,1995,2.7184115523465704
7,5,4300000.0,Four Rooms,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",4000000,9.026586,1995-12-09,1995,3.079564818455892
8,8012,115101622.0,Get Shorty,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",30250000,12.669608,1995-10-20,1995,3.842696629213483
9,1710,0.0,Copycat,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,10.701801,1995-10-27,1995,2.1607142857142856
10,451,49800000.0,Leaving Las Vegas,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3600000,10.332025,1995-10-27,1995,3.0541158536585367
11,687,39363635.0,Dead Man Walking,"[{'id': 18, 'name': 'Drama'}]",11000000,6.891317,1995-12-29,1995,2.9950980392156863
12,577,21284514.0,To Die For,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",20000000,10.448481,1995-05-20,1995,2.8165413533834585
13,629,23341568.0,The Usual Suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6000000,16.302466,1995-07-19,1995,3.1551724137931036
14,2054,106269971.0,Mr. Holland's Opus,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0,7.137117,1995-12-29,1995,2.703222204498325
15,755,25836616.0,From Dusk Till Dawn,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",19000000,15.339153,1996-01-19,1996,3.375796178343949
16,27526,0.0,The Crossing Guard,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,5.756462,1995-11-15,1995,2.6666666666666665
17,400,529766.0,Things to Do in Denver When You're Dead,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",8000000,4.486179,1995-12-01,1995,2.5454545454545454
18,8447,0.0,Angels and Insects,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,2.15166,1995-09-10,1995,2.8268156424581004
19,2086,8175346.0,Nick of Time,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8169363,6.848591,1995-11-22,1995,3.0730593607305936
20,2045,0.0,Unforgettable,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",18000000,2.464425,1996-02-23,1996,3.3775981524249423
21,688,182016617.0,The Bridges of Madison County,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",24000000,5.951077,1995-05-28,1995,2.592657903174094
22,197,210000000.0,Braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",72000000,20.755149,1995-05-24,1995,3.075221238938053
23,103,28262574.0,Taxi Driver,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1300000,14.092713,1976-02-07,1976,3.2730290456431534
24,2074,14702438.0,Flirting with Disaster,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7000000,5.579088,1996-03-22,1996,3.4792332268370605
25,5757,209935.0,Man of the Year,"[{'id': 35, 'name': 'Comedy'}]",0,0.540436,1995-09-15,1995,1.6
26,568,355237933.0,Apollo 13,"[{'id': 18, 'name': 'Drama'}]",52000000,18.761467,1995-06-30,1995,3.551898734177215
27,414,336529144.0,Batman Forever,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",100000000,13.321354,1995-06-16,1995,2.615926327193933
28,1873,0.0,Beyond Rangoon,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,2.04189,1995-05-24,1995,3.7219866747425803
29,5894,1275000.0,Blue in the Face,"[{'id': 35, 'name': 'Comedy'}]",2000000,11.528147,1995-09-15,1995,1.8333333333333333
30,8839,287928194.0,Casper,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",50000000,12.812539,1995-05-26,1995,1.8035714285714286
