id,director
862,['John Lasseter-7879']
8844,['Joe Johnston-4945']
15602,['Howard Deutch-26502']
31357,['Forest Whitaker-2178']
11862,['Charles Shyer-56106']
949,['Michael Mann-638']
11860,['Sydney Pollack-2226']
45325,['Peter Hewitt-18357']
9091,['Peter Hyams-37710']
710,['Martin Campbell-10702']
9087,['Rob Reiner-3026']
12110,['Mel Brooks-14639']
21032,['Simon Wells-21879']
10858,['Oliver Stone-1152']
1408,['Renny Harlin-16938']
524,['Martin Scorsese-1032']
4584,['Ang Lee-1614']
5,"['Allison Anders-3110', 'Alexandre Rockwell-3111', 'Robert Rodriguez-2294', 'Quentin Tarantino-138']"
9273,['Steve Oedekerk-4489']
11517,['Joseph Ruben-52629']
8012,['Barry Sonnenfeld-5174']
1710,['Jon Amiel-15148']
9691,['Richard Donner-7187']
12665,['Victor Salva-56349']
451,['Mike Figgis-6111']
16420,['Oliver Parker-56710']
9263,['Lesli Linka Glatter-15798']
17015,['Roger Michell-7017']
902,"['Jean-Pierre Jeunet-2419', 'Marc Caro-13680']"
37557,['Zhang Yimou-607']
9909,['John N. Smith-60295']
63,['Terry Gilliam-280']
78802,['Jean-Jacques Annaud-2352']
9598,['Chris Noonan-58137']
47018,['Christopher Hampton-12952']
687,['Tim Robbins-504']
139405,['Stephen Low-77867']
33689,['Andy Tennant-17167']
9603,['Amy Heckerling-57434']
34615,['Darrell James Roodt-16730']
31174,['Richard Loncraine-33315']
11443,"['Albert Hughes-11447', 'Allen Hughes-11448']"
35196,['Michael Hoffman-52405']
9312,['Paul W.S. Anderson-4014']
577,['Gus Van Sant-5216']
11861,['Jocelyn Moorhouse-3047']
807,['David Fincher-7467']
10530,"['Mike Gabriel-65530', 'Eric Goldberg-65531']"
8391,['Patricia Rozema-55439']
629,['Bryan Singer-9032']
117164,['Richard W. Munchkin-100505']
11448,['Woody Allen-1243']
49133,['Gianni Amelio-128107']
26441,['Holly Goldberg Sloan-71338']
97406,['Ulu Grosbard-140354']
124057,['Robert Tinnell-30586']
9089,['Jodie Foster-1038']
11010,['Michael Radford-28898']
99040,['Robert Lepage-38527']
11359,['Frank Oz-7908']
17182,['John Schlesinger-19304']
2054,['Stephen Herek-18356']
10607,['Paris Barclay-45649']
19760,['Bill Bennett-49361']
9536,['Jason Bloom-57870']
11525,['Farhad Mann-69721']
40628,['James Foley-15890']
4482,['Josiane Balasko-35137']
10634,['F. Gary Gray-37932']
755,['Robert Rodriguez-2294']
11859,['Andrew Sipes-70850']
28387,['Noah Baumbach-5656']
48750,['Claude Lelouch-16862']
20927,['Michael Goldenberg-10296']
36929,['Steve Miner-58712']
9102,['Christian Duguay-25735']
124626,['Susanne Ofteringer-1080309']
27526,['Sean Penn-2228']
9623,['Brian Gibson-18069']
46785,['Jafar Panahi-120229']
400,['Gary Fleder-5501']
880,['Marleen Gorris-13496']
146599,['Tim Reid-27771']
188588,['Henry Jaglom-117075']
8447,['Philip Haas-55038']
10534,['Ridley Scott-578']
17414,['Ken Kwapis-29009']
13997,['Penelope Spheeris-58448']
2086,['John Badham-12840']
61548,['John Duigan-72624']
9095,['Stephen Frears-3224']
12158,['Wes Craven-5140']
9283,['Ted Demme-34849']
9208,['John Woo-11401']
40154,['Kenneth Branagh-11181']
406,['Mathieu Kassovitz-2406']
45549,['Paul W.S. Anderson-4014']
63076,['Nick Broomfield-92561']
11062,['Harold Becker-23213']
13685,['Wes Anderson-5655']
47475,['Nick Castle-14692']
2045,['John Dahl-21053']
9614,['Dennis Dugan-17494']
688,['Clint Eastwood-190']
11907,['Doris Dörrie-18969']
10874,['Brian Henson-65298']
89333,['Robert Leacock-64077']
96357,['James Bruce-1234226']
197,['Mel Gibson-2461']
